ID,state_id,Station,lat,lng,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
1,1,Batu Pahat,1.85908,102.93697,61,89,97,67,62,70,81,62,60,68,63,57,59,58,74,60,56,57,65,65,56,69,62,62,63,60,93,71,80,63,70,105,186,74,73,51
2,1,Kluang,2.03061,103.32025,60,66,63,64,58,65,67,56,59,65,57,52,55,50,59,53,54,55,57,58,52,61,54,57,61,55,78,73,67,64,66,93,154,61,67,43
3,1,Kota Tinggi,1.72842,103.89897,55,62,74,100,57,119,64,60,57,104,84,59,59,46,55,50,74,57,56,61,52,68,57,53,64,54,76,72,60,66,70,63,131,69,172,50
4,1,Larkin,1.49595,103.74708,64,101,114,106,78,90,82,68,68,76,70,73,62,57,93,57,72,70,73,71,71,80,69,71,65,59,73,77,84,68,70,87,171,74,104,59
5,1,Pasir Gudang,1.46982,103.88033,57,101,70,69,78,71,74,62,64,70,66,60,60,53,71,54,67,62,67,70,58,64,58,58,67,57,79,76,73,64,65,78,143,100,91,55
6,1,Pengerang,1.37496,104.16023,59,96,85,74,58,62,60,59,60,62,65,55,61,51,79,59,57,51,53,79,55,57,54,54,59,62,73,85,64,53,65,75,129,64,79,55
7,1,Tangkak,2.27032,102.53177,68,86,160,70,62,67,68,58,63,64,61,62,59,56,64,61,55,57,58,63,61,63,64,64,63,62,96,70,70,64,67,91,258,88,79,57
8,1,Segamat,2.50692,102.81631,60,68,155,69,70,68,75,64,68,74,62,55,58,60,63,66,59,66,63,67,61,87,66,63,122,56,104,109,87,101,75,90,174,76,78,52
9,2,Alor Setar,6.13161,100.38883,73,96,96,62,59,64,80,69,96,71,47,62,60,60,69,58,60,75,71,84,70,60,60,62,68,62,69,58,61,70,72,79,105,60,56,55
10,2,Kulim,5.37133,100.55559,67,78,79,62,62,60,73,65,64,60,55,63,63,62,71,56,58,66,67,79,64,68,65,56,64,62,69,66,67,76,84,81,211,65,56,59
11,2,Langkawi,6.29216,99.72636,64,71,63,61,57,59,65,54,49,54,43,58,62,59,58,57,55,61,65,66,58,50,58,60,64,54,65,57,60,62,67,72,117,61,58,56
12,2,Sungai Petani,5.65952,100.50126,73,81,75,65,67,72,86,93,90,71,70,59,82,64,69,61,60,80,83,84,65,59,56,58,63,63,70,63,67,77,78,86,136,66,59,60
13,3,Kota Bharu,6.13533,102.23701,84,95,75,79,71,85,138,80,94,87,60,71,63,67,68,77,61,95,69,97,85,69,75,73,78,58,71,75,65,66,100,94,118,68,65,73
14,3,Tanah Merah,5.84694,102.12326,88,98,75,75,67,71,78,68,78,80,58,72,71,67,72,63,58,85,68,86,73,65,74,75,73,63,74,85,65,63,77,81,117,59,60,65
15,4,Alor Gajah,2.38635,102.19281,63,80,80,70,76,82,78,76,66,71,69,55,60,58,58,64,73,62,74,67,63,77,62,62,66,64,110,78,77,66,72,90,181,76,78,53
16,4,Bandaraya Melaka,3.15022,101.69726,59,84,77,72,75,76,73,61,63,71,73,55,62,61,65,63,67,73,70,72,62,69,68,101,111,58,95,84,69,65,73,114,224,75,81,55
17,4,Bukit Rambai,2.2481,102.18992,60,85,88,85,81,77,86,76,68,80,76,60,74,77,65,62,70,66,73,72,61,70,62,64,63,65,119,109,74,66,73,96,198,80,83,56
18,5,Nilai,2.83221,101.79589,85,89,95,80,85,74,77,71,79,80,84,69,72,66,66,71,74,77,76,79,79,80,71,89,65,78,86,72,72,71,83,93,212,93,83,62
19,5,Port Dickson,2.5243,101.79448,70,124,87,80,76,70,74,70,66,69,80,64,109,69,60,65,60,63,72,70,57,66,60,62,84,72,135,114,71,68,78,84,213,77,84,67
20,5,Seremban,2.7235,101.94095,61,87,95,63,75,62,66,63,64,75,66,74,90,59,59,62,61,62,76,71,62,61,62,63,60,87,87,80,67,61,76,80,178,72,71,57
